title,DOI,cited,authors,year
Introduction to Code Biology,10.1007/s12304-014-9212-1,15,Marcello Barbieri,2014
The Biosemiotic Glossary Project: The Semiotic Threshold,10.1007/s12304-017-9289-4,15,"Claudio Julio Rodríguez Higuera, Kalevi Kull",2017
"Perceive, Co-opt, Modify, and Live! Organism as a Centre of Experience",10.1007/s12304-010-9093-x,15,Karel Kleisner,2010
Recorded Versus Organic Memory: Interaction of Two Worlds as Demonstrated by the Chromatin Dynamics,10.1007/s12304-009-9045-5,15,"Anton Markoš, Jana Švorcová",2009
Role of Utility and Inference in the Evolution of Functional Information,10.1007/s12304-008-9032-2,14,Alexei A. Sharov,2009
Steps to a Semiotics of Being,10.1007/s12304-010-9074-0,14,Morten Tønnessen,2010
"Mimicry, Camouflage and Perceptual Exploitation: the Evolution of Deception in Nature",10.1007/s12304-018-9339-6,14,Enrique Font,2018
A Multiscale Approach to Investigate the Biosemiotic Complexity of Two Acoustic Communities in Primary Forests with High Ecosystem Integrity Recorded with 3D Sound Technologies,10.1007/s12304-019-09361-z,14,"David Monacchi, Almo Farina",2019
On the Emergence of Living Systems,10.1007/s12304-009-9060-6,14,Bruce H. Weber,2009
Hierarchical Categorical Perception in Sensing and Cognitive Processes,10.1007/s12304-008-9001-9,14,Luis Emilio Bruni,2008
Turtles Are Not Just Walking Stones: Conspicuous Coloration and Sexual Selection in Freshwater Turtles,10.1007/s12304-015-9249-9,13,"Jindřich Brejcha, Karel Kleisner",2015
"Uexküll, Peirce, and Other Affinities Between Biosemiotics and Biolinguistics",10.1007/s12304-008-9028-y,13,Prisca Augustyn,2008
Natural Code of Subjective Experience,10.1007/s12304-022-09487-7,13,Ilya A. Surov,2022
The Symptom,10.1007/s12304-011-9112-6,13,Kathryn Staiano-Ross,2011
On the Diversity of Environmental Signs: a Typological Approach,10.1007/s12304-017-9308-5,13,Timo Maran,2017
On the Semio-Mathematical Nature of Codes,10.1007/s12304-008-9004-6,12,"Yair Neuman, Ophir Nave",2008
